,FP_1,FP_2,FP_3,FP_4,FS_1,FS_2,FS_3,N_1,N_2,N_3
O75888,2341.595778,2076.943821,2858.068,3447.185255,1958.906143,414.8091642,1412.830796,384.55453,1000.232909,323.3199515
O75915,6553.223705,3815.79745,3785.193715,8958.13983,6336.82591,1619.493212,5948.729465,2349.858877,5219.0129,2030.964578
O75935,1354.127864,1269.60768,1377.553747,6915.05762,2516.092642,1281.017474,2780.755705,2097.039299,644.9592065,1240.466554
O76070,21614.47731,17023.40284,16653.06582,25799.0608,35741.45335,5158.782525,13876.74582,3811.513755,9275.824415,1926.616005
O94832,3345.46013,2445.966933,2219.626039,3185.886385,3390.889468,969.6087522,4469.185466,1954.319506,2278.790601,747.9530968
O94875,55243.68165,38340.63117,24758.58431,16262.17251,58628.75845,17269.56345,77550.44145,21638.6488,52629.1747,18167.28157
O95336,8104.08304,4694.842743,2433.611517,15531.24399,6504.38447,1414.395443,7286.244895,2776.37469,6313.094125,1294.784504
O95373,232.1421002,1138.30803,664.392591,540.5090185,1454.054552,387.6501212,1507.143377,568.029033,1288.681872,125.0045127
O95782,1303.442688,675.2810417,1141.294239,3764.323762,2387.786393,675.9170908,2056.794591,802.8621655,1769.516014,454.169638
O95834,6340.837285,4834.151047,2732.833465,7292.76185,6486.01817,1909.648578,6864.311635,3614.788218,7084.717825,2239.354645
O95865,25855.7581,18610.92394,8145.16092,30650.66018,24662.32208,5719.239942,24717.88526,11009.88172,20301.31763,6976.626353
P00325,280138.5949,131346.8662,88977.91925,190573.8484,172888.8591,39205.88337,96596.4271,24898.13608,80152.88575,22408.07375
P00338,109894.1772,47321.2053,60535.77858,186481.893,97105.25245,22075.95573,62367.0681,24192.75495,50796.4442,20326.53525
P00352,78054.91195,54297.8623,34297.45405,75611.678,65304.41095,14933.05629,49229.26289,31695.16383,50222.70385,13663.93492
P00387,39994.5428,17005.6408,13325.97759,31048.48918,29384.40641,11210.17901,28426.98703,15211.7721,24466.36329,7757.297777
P00390,1595.593302,1003.8292,1301.778118,5558.969245,2660.498807,578.6616062,2245.563741,1070.742636,2049.379113,1198.620827
P00403,6111.47413,2298.605008,2308.199166,8305.03025,3403.008512,1012.752292,4170.761974,2104.174322,4083.934454,856.6480513
P00441,58555.59455,44468.80257,39072.95558,85862.6245,32648.49603,13722.96105,65490.2289,26253.79043,29983.76532,21611.55222
P00450,361987.9637,159667.1922,223995.4555,413310.2267,89036.74685,25327.21243,121927.7506,12748.85502,51781.62885,21573.63948
P00488,43633.99758,16748.06883,37821.4993,84183.7263,19840.21832,4821.190248,19855.43421,8193.984028,11878.96416,1509.942169
P00558,107308.6594,41872.7577,44092.74445,247432.8845,101149.0051,29304.25635,84023.42905,32690.39318,65976.82575,31892.0422
P00568,24783.89656,22449.95143,17716.29898,27951.28576,27683.17132,5129.652875,19365.87273,10899.62724,15770.53551,6047.008708
P00734,247412.1295,77907.8769,134086.6188,252332.4627,64061.2929,14524.57859,55967.9328,10986.67839,26875.29984,11834.43927
P00736,32601.44491,13206.09449,10562.61736,27464.19949,13542.29639,2667.71889,4987.76764,1104.72004,3488.587778,1225.478627
P00740,87895.9987,32726.07481,27962.35213,58132.6872,38730.72702,4415.510175,17137.99637,4039.737805,6390.12033,10395.78719
P00746,14680.26047,10098.63795,11747.81115,18955.56454,10188.00382,2707.020605,13375.3401,4965.511858,9591.58401,3256.51407
P00748,10760.20287,10550.60301,11074.25582,21678.38994,4354.12953,3154.787747,8819.58492,968.1607293,4209.980678,2267.700607
P00751,287474.115,117017.1769,120192.9385,348366.5875,97820.0001,30647.97497,112270.2909,19181.31985,43037.8851,34421.56502
P00846,1623.543975,786.7186917,611.068807,455.1761948,1380.716016,341.1494323,1022.403186,487.8402703,1328.085578,223.8173563
P00915,81631.43745,42355.6152,47923.36485,457596.6702,37232.24502,15919.83239,201640.809,37927.96405,61703.39875,29944.43837
P00918,6259.216165,9896.06083,8600.99664,105440.8363,5994.10894,4829.816257,24986.49381,11729.3782,9658.931335,5820.949658
P01008,160645.7635,73685.45927,89893.67,146691.8146,48546.29303,11821.49675,57784.97695,16465.37049,31653.35336,13531.29944
P01009,1199267.599,580076.5413,899538.1353,1519527.291,322461.112,108265.3636,469124.3869,90600.09515,290111.669,100173.2135
